epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,3917.76,0.4003,0.4302,0.91229,0.97347,0.97787,0.99278,0.94399,0.34543,0.32949,0.85947,0.000335748,0.000335748,0.000335748
132,3947.67,0.39174,0.39679,0.89667,0.98542,1,0.995,0.95728,0.31796,0.30632,0.84827,0.000333808,0.000333808,0.000333808
133,3977.5,0.40332,0.38605,0.91748,0.9899,1,0.995,0.95135,0.31347,0.30744,0.84568,0.000331867,0.000331867,0.000331867
134,4007.37,0.39237,0.37671,0.90487,0.98257,0.99405,0.995,0.96388,0.32069,0.30318,0.84832,0.000329927,0.000329927,0.000329927
135,4037.8,0.42593,0.40043,0.91431,0.9812,0.98803,0.995,0.96425,0.30547,0.30538,0.84658,0.000327986,0.000327986,0.000327986
136,4067.93,0.38259,0.39293,0.90462,0.96985,0.98745,0.99278,0.94281,0.32508,0.33483,0.85311,0.000326046,0.000326046,0.000326046
137,4097.74,0.44856,0.46827,0.9439,0.97199,0.96703,0.98912,0.94602,0.32247,0.32992,0.85525,0.000324106,0.000324106,0.000324106
138,4127.71,0.41847,0.41909,0.92763,0.97054,0.95395,0.97828,0.93943,0.30875,0.34413,0.85334,0.000322165,0.000322165,0.000322165
139,4157.46,0.41443,0.40704,0.91718,0.97011,0.96998,0.98121,0.93988,0.31082,0.33226,0.85256,0.000320225,0.000320225,0.000320225
140,4187.96,0.38295,0.41583,0.92513,0.96751,0.98091,0.9788,0.94039,0.32525,0.32587,0.85378,0.000318284,0.000318284,0.000318284
141,4217.95,0.40875,0.39333,0.89754,0.97517,0.98485,0.97532,0.93846,0.31766,0.33902,0.84886,0.000316344,0.000316344,0.000316344
142,4248.17,0.365,0.36561,0.87959,0.97375,0.98602,0.97889,0.94525,0.30756,0.32984,0.84744,0.000314404,0.000314404,0.000314404
143,4277.15,0.3957,0.35676,0.90873,0.97474,0.98609,0.98574,0.92995,0.35148,0.32245,0.86031,0.000312463,0.000312463,0.000312463
144,4306.01,0.43688,0.40337,0.92353,0.97757,0.98706,0.995,0.9435,0.31683,0.27753,0.8525,0.000310523,0.000310523,0.000310523
145,4336.43,0.39888,0.38496,0.91864,0.98829,0.98618,0.995,0.93615,0.32649,0.28831,0.85437,0.000308582,0.000308582,0.000308582
146,4367.17,0.52637,0.40707,0.98554,0.99106,0.97249,0.995,0.95138,0.33069,0.31034,0.85705,0.000306642,0.000306642,0.000306642
147,4396.38,0.40822,0.39396,0.91423,0.98929,0.97108,0.995,0.94745,0.32771,0.29773,0.86103,0.000304702,0.000304702,0.000304702
148,4425.65,0.36985,0.34718,0.88563,0.97909,0.97256,0.995,0.94528,0.35423,0.29428,0.87186,0.000302761,0.000302761,0.000302761
149,4454.9,0.40854,0.41529,0.91537,0.98042,1,0.995,0.94785,0.3377,0.27617,0.86054,0.000300821,0.000300821,0.000300821
150,4484.19,0.35185,0.37551,0.84286,0.9892,0.97197,0.995,0.94666,0.3329,0.30525,0.85464,0.00029888,0.00029888,0.00029888
151,4513.07,0.45321,0.40154,0.94151,0.98932,0.97229,0.995,0.94187,0.3338,0.3088,0.85597,0.00029694,0.00029694,0.00029694
152,4542.13,0.38763,0.35496,0.90836,0.98661,0.97948,0.995,0.94562,0.32065,0.2884,0.8533,0.000295,0.000295,0.000295
153,4571.07,0.39346,0.37578,0.89931,0.99017,0.97534,0.995,0.94601,0.32355,0.28844,0.85646,0.000293059,0.000293059,0.000293059
154,4600.31,0.41861,0.38308,0.92977,0.9792,0.961,0.995,0.9385,0.33892,0.32316,0.85706,0.000291119,0.000291119,0.000291119
155,4629.32,0.39575,0.39531,0.91606,0.97745,0.95907,0.995,0.93527,0.34467,0.32315,0.86271,0.000289178,0.000289178,0.000289178
156,4658.77,0.40794,0.41187,0.91913,0.98722,0.99778,0.995,0.94052,0.34718,0.27127,0.86702,0.000287238,0.000287238,0.000287238
157,4688.04,0.37751,0.35858,0.90732,0.99053,0.99849,0.995,0.94681,0.33729,0.2701,0.86453,0.000285298,0.000285298,0.000285298
158,4717.05,0.36785,0.35557,0.91083,0.99345,1,0.995,0.93648,0.34693,0.2767,0.87456,0.000283357,0.000283357,0.000283357
159,4746.1,0.35923,0.35545,0.89888,0.994,1,0.995,0.93619,0.35162,0.2738,0.87635,0.000281417,0.000281417,0.000281417
